Index,Param1,Param2,Param3,obs1,obs2,obs3,obs4
387.4,2527.572767,2.6444,4372.588119,-0.001677456,-0.001650488,-0.001771952,-0.002855358
387.55,2548.708086,2.647,4351.985379,-0.0018701,-0.00283103,-0.005611037,-0.010134596
387.71,2542.542543,2.6411,4353.601577,-0.000930062,-0.000591791,0.000344306,0.001679795
387.86,2540.846949,2.6314,4372.901782,0.000371944,0.000760631,0.001968646,0.004313355
388.01,2540.635159,2.6242,4348.384336,-0.00418117,-0.004250296,-0.004620511,-0.005979655
388.16,2538.519197,2.6337,4347.888107,0.001749743,0.001656585,0.001398319,0.001027776
388.32,2530.930831,2.6349,4337.431694,-0.000976154,-0.000810096,-0.000434939,-0.000292832
388.47,2527.992038,2.6353,4337.184814,4.74384E-05,0.000144411,0.000407445,0.000757814
388.62,2521.717548,2.6346,4326.779757,-0.001333788,-0.001181724,-0.00084454,-0.000753146
388.77,2506.578947,2.629,4346.524064,0.001212538,0.002020269,0.004376323,0.008305997
388.92,2489.78925,2.6239,4324.201626,-0.003545344,-0.003045469,-0.001847414,-0.000998276
389.08,2488.569562,2.612,4322.668482,-0.002450076,-0.002217315,-0.001593043,-0.000795254
389.23,2448.979592,2.6134,4340.02563,0.002271587,0.003805962,0.008122956,0.014623075
389.38,2469.81606,2.6216,4367.700795,0.004744587,0.004115191,0.002604563,0.001538842
389.53,2485.322896,2.6395,4352.793328,0.001692865,0.000741625,-0.001969437,-0.006200102
389.69,2547.855889,2.6505,4499.623555,0.018665208,0.01752277,0.015558885,0.018578191
389.84,2542.754651,2.6614,4490.607735,0.001049152,0.000973039,0.000699749,1.79E-05
389.99,2548.708086,2.666,4503.279948,0.002272438,0.002098624,0.001716329,0.001633669
390.14,2583.707722,2.6839,4586.286282,0.012477521,0.011681577,0.01012539,0.010990134
390.3,2575.411914,2.6971,4591.606158,0.003032712,0.003138828,0.003466523,0.004093343
390.45,2565.440619,2.7157,4501.417769,-0.006482337,-0.007142783,-0.009566004,-0.015748968
390.6,2553.405378,2.7079,4506.675735,-0.000854466,-0.000278875,0.001331237,0.00370964
390.75,2548.281916,2.6954,4558.643175,0.003419199,0.00420756,0.00674652,0.012058953
390.91,2544.028044,2.678,4515.020442,-0.008045669,-0.007976253,-0.008093987,-0.009695401
391.06,2532.402792,2.6798,4446.973344,-0.007256912,-0.007433062,-0.008393601,-0.01193995
391.21,2527.363184,2.6818,4390.91852,-0.005969547,-0.006278265,-0.007524101,-0.011106589
391.36,2527.363184,2.6838,4390.033127,0.000271914,0.000231588,0.000114826,-7.59E-05
391.52,2535.351855,2.6734,4391.677713,-0.001754039,-0.001848881,-0.00209597,-0.002376359
391.67,2539.788351,2.6648,4381.765645,-0.002740806,-0.00283411,-0.003162562,-0.003958383
391.82,2549.560853,2.6585,4398.204932,0.000688888,0.000584041,0.000420744,0.00078306
391.97,2567.601718,2.6659,4439.653917,0.006079723,0.005657977,0.004817798,0.005163125
392.13,2612.049019,2.6711,4485.255165,0.006083735,0.004817517,0.001691541,-0.000972803
392.28,2680.503034,2.6704,4573.966806,0.009661376,0.008013093,0.004160489,0.002066645
392.43,2687.830688,2.6722,4582.562807,0.001275698,0.001060723,0.000534819,0.000107911
392.58,2730.693424,2.6754,4614.476254,0.004068361,0.002795757,-0.000458317,-0.003832036
392.73,2722.644038,2.6867,4615.244844,0.002190656,0.00227551,0.002512566,0.002861352
392.89,2718.273433,2.6874,4598.394786,-0.001698563,-0.001691796,-0.001791915,-0.002487811
393.04,2702.606845,2.677,4628.209606,0.001292698,0.002247883,0.005070824,0.009944775
393.19,2679.089391,2.6661,4595.413632,-0.005595623,-0.004866826,-0.00310679,-0.001785103
393.34,2650.20433,2.6565,4487.566437,-0.013676884,-0.013360939,-0.013235149,-0.016470195
393.5,2611.601405,2.6527,4486.311451,-0.000855587,0.000563809,0.004425717,0.009634207
393.65,2542.118432,2.6509,4378.869941,-0.012458835,-0.010856352,-0.007246861,-0.005845933
393.8,2530.510585,2.6526,4342.87017,-0.003807052,-0.003717297,-0.003737263,-0.005008559
393.95,2472.621076,2.6612,4331.822122,0.000344833,0.002189521,0.007131431,0.013438734
394.11,2532.402792,2.6637,4339.531308,0.001358533,-0.000726536,-0.006380901,-0.013884692
394.26,2546.365915,2.6734,4363.261567,0.004544185,0.004072471,0.00296329,0.002303998
394.41,2539.365159,2.677,4401.126272,0.004993123,0.005495697,0.007156959,0.010802334
394.56,2552.336292,2.6751,4506.076107,0.011427628,0.011871407,0.01389888,0.020622772
394.72,2593.601089,2.6616,4479.059515,-0.005536421,-0.006922582,-0.010909811,-0.017290271
394.87,2612.272883,2.6583,4576.301724,0.010118389,0.010316522,0.011596096,0.016918767
